id,draw_id,Date,N1,N2,N3,N4,N5,E1,E2,has_winner
1,1,2024-10-11,4,9,23,29,41,8,11,True
2,2,2024-10-13,6,7,14,27,41,6,7,False
3,3,2024-10-15,8,11,16,19,28,5,12,True
4,4,2024-10-17,9,11,21,35,38,1,6,False
5,5,2024-10-19,5,7,13,16,21,7,9,True
6,6,2024-10-21,21,31,42,43,48,4,7,False
7,7,2024-10-23,4,31,36,37,40,3,10,False
8,8,2024-10-25,2,8,16,27,33,6,11,True
9,9,2024-10-27,6,20,32,45,50,2,12,True
10,10,2024-10-29,8,13,21,34,40,2,12,True
11,11,2024-10-31,13,14,24,28,33,1,7,True
12,12,2024-11-02,15,19,43,44,45,1,10,False
13,13,2024-11-04,5,10,12,14,16,1,10,True
14,14,2024-11-06,1,8,19,20,32,1,3,True
15,15,2024-11-08,5,16,25,31,47,1,11,True
16,16,2024-11-10,5,12,27,33,44,3,4,False
17,17,2024-11-12,2,23,25,30,41,7,8,False
18,18,2024-11-14,3,11,20,37,49,8,12,False
19,19,2024-11-16,3,22,31,36,42,2,9,True
20,20,2024-11-18,1,6,11,34,37,7,12,True
21,21,2024-11-20,1,5,17,29,35,3,10,False
22,22,2024-11-22,4,12,18,19,20,2,11,False
23,23,2024-11-24,1,17,37,38,40,1,7,True
24,24,2024-11-26,12,18,22,34,35,4,5,True
25,25,2024-11-28,8,10,32,34,48,2,7,False
26,26,2024-11-30,6,21,25,39,49,8,11,False
27,27,2024-12-02,14,17,23,35,50,2,3,True
28,28,2024-12-04,4,20,30,35,45,3,11,False
29,29,2024-12-06,6,21,23,29,44,3,11,False
30,30,2024-12-08,20,26,38,46,50,4,12,False
31,31,2024-12-10,8,14,21,26,48,2,5,False
32,32,2024-12-12,2,4,26,32,48,4,7,False
33,33,2024-12-14,4,14,20,30,47,3,12,False
34,34,2024-12-16,26,29,39,40,44,3,4,False
35,35,2024-12-18,8,11,19,30,45,6,11,True
36,36,2024-12-20,11,25,38,39,48,4,8,True
37,37,2024-12-22,8,25,26,47,49,4,6,False
38,38,2024-12-24,9,13,25,27,38,3,5,False
39,39,2024-12-26,1,2,20,36,43,1,2,False
40,40,2024-12-28,3,6,9,13,46,9,11,False
41,41,2024-12-30,4,22,26,27,49,6,12,False
42,42,2025-01-01,1,14,20,22,49,10,11,False
43,43,2025-01-03,10,11,12,25,40,1,6,False
44,44,2025-01-05,1,6,11,20,33,10,11,False
45,45,2025-01-07,14,18,27,33,44,3,11,True
46,46,2025-01-09,18,23,27,35,43,11,12,False
47,47,2025-01-11,6,7,26,30,46,2,7,False
48,48,2025-01-13,5,7,10,35,50,7,12,False
49,49,2025-01-15,1,9,11,30,33,3,4,True
50,50,2025-01-17,2,7,19,25,50,7,9,True
51,51,2025-01-19,8,18,28,31,34,7,9,True
52,52,2025-01-21,4,20,34,46,47,9,12,True
53,53,2025-01-23,3,11,38,44,45,4,7,True
54,54,2025-01-25,13,19,31,35,44,2,6,True
55,55,2025-01-27,13,26,38,41,46,9,12,True
56,56,2025-01-29,5,19,20,33,39,6,10,True
57,57,2025-01-31,8,20,41,42,46,6,12,True
58,58,2025-02-02,1,2,22,31,34,4,9,True
59,59,2025-02-04,10,31,38,40,50,5,11,True
60,60,2025-02-06,13,16,32,39,45,2,5,True
61,61,2025-02-08,3,18,20,35,46,3,8,False
